Tarih;Saat;Toplam (MWh);Doßal Gaz;RÅzgar;Linyit;Taü KîmÅr;òthal KîmÅr;Fuel Oil;Jeotermal;Barajlç;Nafta;BiyokÅtle;Akarsu;Dißer
01.01.2021;00:00;26.465,84;5.886,20;5.061,41;4.620,00;284,00;6.445,90;3,60;1.094,92;1.533,27;0,00;561,87;768,27;206,40
01.01.2021;01:00;24.844,67;5.024,60;4.955,46;4.514,00;262,00;6.252,90;0,60;1.105,71;1.264,67;0,00;564,77;693,76;206,20
01.01.2021;02:00;23.274,45;4.041,00;4.825,60;4.564,00;262,00;5.820,60;0,60;1.105,02;1.237,67;0,00;564,77;647,49;205,70
01.01.2021;03:00;22.453,18;3.638,00;4.667,55;4.460,00;262,00;5.447,60;0,60;1.108,92;1.433,67;0,00;562,27;666,87;205,70
01.01.2021;04:00;21.981,51;3.538,00;4.479,05;4.462,00;262,00;5.242,40;0,60;1.109,90;1.446,27;0,00;561,72;673,87;205,70
01.01.2021;05:00;21.874,17;3.535,40;4.248,36;4.482,00;262,00;5.242,40;0,60;1.106,60;1.456,27;0,00;559,97;774,87;205,70
01.01.2021;06:00;21.922,77;3.296,00;4.176,38;4.482,00;262,00;5.529,10;0,60;1.106,00;1.457,27;0,00;565,37;842,35;205,70
01.01.2021;07:00;22.380,44;3.287,40;4.092,70;4.479,00;262,00;6.059,20;0,60;1.104,50;1.576,47;0,00;564,87;744,93;208,77
01.01.2021;08:00;22.645,33;3.648,10;3.872,41;4.479,00;262,00;6.045,00;0,60;1.103,82;1.534,87;0,00;574,98;878,98;245,57
01.01.2021;09:00;23.030,69;4.192,35;3.626,17;4.457,00;262,00;5.849,60;0,60;1.098,52;1.764,87;0,00;581,56;845,96;352,06
01.01.2021;10:00;23.745,40;4.473,33;3.328,52;4.447,00;262,00;6.194,30;0,60;1.090,13;2.052,07;0,00;582,30;870,83;444,32
01.01.2021;11:00;24.254,46;4.462,63;3.265,22;4.456,30;262,00;6.079,00;0,60;1.083,14;2.553,57;0,00;581,60;1.022,59;487,81
01.01.2021;12:00;24.166,92;4.553,24;3.206,27;4.431,40;262,00;5.757,80;0,60;1.073,16;2.834,37;0,00;583,80;975,77;488,51
01.01.2021;13:00;24.704,64;5.150,23;3.062,11;4.408,00;262,00;5.983,70;0,60;1.063,96;2.819,37;0,00;580,52;909,44;464,71
01.01.2021;14:00;25.480,54;6.339,73;2.818,10;4.427,00;262,00;6.017,70;0,60;1.057,66;2.653,07;0,00;575,22;908,87;420,59
01.01.2021;15:00;26.035,27;7.011,99;2.466,07;4.478,00;262,00;6.298,00;0,60;1.055,66;2.590,37;0,00;564,01;950,79;357,78
01.01.2021;16:00;27.352,77;7.995,21;2.071,54;4.508,15;284,00;6.797,10;3,60;1.055,24;2.778,37;0,00;570,51;1.014,68;274,37
01.01.2021;17:00;29.782,74;8.299,45;1.794,10;4.498,15;284,00;6.945,10;3,60;1.058,74;4.936,17;0,00;576,73;1.174,39;212,31
01.01.2021;18:00;30.975,77;8.489,26;1.630,88;4.276,35;245,00;7.216,10;3,60;1.069,34;6.035,17;0,00;586,09;1.217,28;206,70
01.01.2021;19:00;30.352,31;8.509,22;1.515,90;4.279,25;242,00;7.217,10;3,60;1.079,22;5.480,57;0,00;570,35;1.249,50;205,60
01.01.2021;20:00;29.559,92;8.428,95;1.487,41;4.301,15;284,00;7.093,90;3,60;1.086,42;4.954,47;0,00;565,68;1.148,84;205,50
01.01.2021;21:00;28.850,18;8.526,24;1.442,95;4.274,15;284,00;7.092,90;3,60;1.092,52;4.339,17;0,00;563,68;1.025,47;205,50
