Tarih;Saat;Toplam (MWh)
01.01.2021;00:00;60,68
01.01.2021;01:00;58,77
01.01.2021;02:00;58,08
01.01.2021;03:00;56,77
01.01.2021;04:00;56,39
01.01.2021;05:00;53,06
01.01.2021;06:00;56,01
01.01.2021;07:00;88,04
01.01.2021;08:00;411,47
01.01.2021;09:00;1325,30
01.01.2021;10:00;2277,15
01.01.2021;11:00;2831,38
01.01.2021;12:00;3264,65
01.01.2021;13:00;3095,48
01.01.2021;14:00;2526,31
01.01.2021;15:00;1554,16
01.01.2021;16:00;621,60
01.01.2021;17:00;98,46
01.01.2021;18:00;39,70
01.01.2021;19:00;36,76
01.01.2021;20:00;36,62
01.01.2021;21:00;36,25
01.01.2021;22:00;38,50
01.01.2021;23:00;37,24
02.01.2021;00:00;36,67
02.01.2021;01:00;35,87
02.01.2021;02:00;36,68
02.01.2021;03:00;37,05
02.01.2021;04:00;37,06
02.01.2021;05:00;36,62
02.01.2021;06:00;39,06
02.01.2021;07:00;66,77
02.01.2021;08:00;349,95
02.01.2021;09:00;1222,23
02.01.2021;10:00;2268,49
02.01.2021;11:00;3121,20
02.01.2021;12:00;3516,11
02.01.2021;13:00;3501,13
02.01.2021;14:00;2881,21
02.01.2021;15:00;1953,78
02.01.2021;16:00;840,40
02.01.2021;17:00;125,77
02.01.2021;18:00;38,09
02.01.2021;19:00;36,76
02.01.2021;20:00;37,18
02.01.2021;21:00;38,36
02.01.2021;22:00;37,63
02.01.2021;23:00;37,02
03.01.2021;00:00;34,65
03.01.2021;01:00;34,87
03.01.2021;02:00;36,18
03.01.2021;03:00;38,20
03.01.2021;04:00;40,40
03.01.2021;05:00;42,25
03.01.2021;06:00;44,55
03.01.2021;07:00;87,57
03.01.2021;08:00;505,56
03.01.2021;09:00;1589,66
03.01.2021;10:00;2582,46
03.01.2021;11:00;3184,76
03.01.2021;12:00;3368,88
03.01.2021;13:00;3178,09
03.01.2021;14:00;2693,89
03.01.2021;15:00;1730,96
03.01.2021;16:00;774,94
03.01.2021;17:00;121,30
03.01.2021;18:00;36,56
03.01.2021;19:00;35,35
03.01.2021;20:00;33,85
03.01.2021;21:00;35,83
03.01.2021;22:00;40,51
03.01.2021;23:00;40,15
04.01.2021;00:00;38,16
04.01.2021;01:00;38,17
04.01.2021;02:00;39,30
04.01.2021;03:00;39,58
04.01.2021;04:00;40,67
04.01.2021;05:00;44,25
04.01.2021;06:00;47,72
04.01.2021;07:00;92,49
04.01.2021;08:00;511,56
04.01.2021;09:00;1619,27
04.01.2021;10:00;2806,64
04.01.2021;11:00;3540,74
04.01.2021;12:00;3781,22
04.01.2021;13:00;3455,87
04.01.2021;14:00;2765,73
04.01.2021;15:00;1825,37
04.01.2021;16:00;757,36
04.01.2021;17:00;128,82
04.01.2021;18:00;47,19
04.01.2021;19:00;46,36
04.01.2021;20:00;52,56
04.01.2021;21:00;56,25
04.01.2021;22:00;56,87
04.01.2021;23:00;55,77
05.01.2021;00:00;56,41
05.01.2021;01:00;57,74
05.01.2021;02:00;56,14
05.01.2021;03:00;57,16
05.01.2021;04:00;59,77
05.01.2021;05:00;61,06
05.01.2021;06:00;59,36
05.01.2021;07:00;89,01
05.01.2021;08:00;439,53
05.01.2021;09:00;1228,08
05.01.2021;10:00;2018,68
05.01.2021;11:00;2493,91
05.01.2021;12:00;2597,19
05.01.2021;13:00;2289,93
05.01.2021;14:00;1965,93
05.01.2021;15:00;1349,20
05.01.2021;16:00;577,10
05.01.2021;17:00;137,79
05.01.2021;18:00;49,79
05.01.2021;19:00;45,84
05.01.2021;20:00;48,94
05.01.2021;21:00;47,51
05.01.2021;22:00;45,36
05.01.2021;23:00;47,14
06.01.2021;00:00;45,92
06.01.2021;01:00;43,66
06.01.2021;02:00;42,56
06.01.2021;03:00;43,80
06.01.2021;04:00;44,16
06.01.2021;05:00;42,60
06.01.2021;06:00;45,19
06.01.2021;07:00;75,94
06.01.2021;08:00;402,88
06.01.2021;09:00;1270,79
06.01.2021;10:00;2154,18
06.01.2021;11:00;2777,68
06.01.2021;12:00;3074,51
06.01.2021;13:00;2954,83
06.01.2021;14:00;2459,19
06.01.2021;15:00;1615,10
06.01.2021;16:00;664,69
06.01.2021;17:00;125,87
06.01.2021;18:00;46,04
06.01.2021;19:00;45,95
06.01.2021;20:00;45,96
06.01.2021;21:00;45,77
06.01.2021;22:00;48,58
06.01.2021;23:00;48,82
07.01.2021;00:00;48,45
07.01.2021;01:00;49,16
07.01.2021;02:00;49,03
07.01.2021;03:00;50,24
07.01.2021;04:00;52,11
07.01.2021;05:00;56,46
07.01.2021;06:00;60,84
07.01.2021;07:00;96,20
07.01.2021;08:00;494,05
07.01.2021;09:00;1590,68
07.01.2021;10:00;2498,09
07.01.2021;11:00;3247,72
07.01.2021;12:00;3530,67
07.01.2021;13:00;3422,76
07.01.2021;14:00;2815,69
07.01.2021;15:00;1789,70
07.01.2021;16:00;753,59
07.01.2021;17:00;121,87
07.01.2021;18:00;53,07
07.01.2021;19:00;50,27
07.01.2021;20:00;53,43
07.01.2021;21:00;53,39
07.01.2021;22:00;52,69
07.01.2021;23:00;53,10
08.01.2021;00:00;51,36
08.01.2021;01:00;52,91
08.01.2021;02:00;52,44
08.01.2021;03:00;52,82
