Tarih;Saat;YÅk Tahmin Planç (MWh)
01/01/2021;00:00;28.125,00
01/01/2021;01:00;26.548,00
01/01/2021;02:00;25.288,00
01/01/2021;03:00;24.312,00
01/01/2021;04:00;23.730,00
01/01/2021;05:00;23.536,00
01/01/2021;06:00;23.774,00
01/01/2021;07:00;24.112,00
01/01/2021;08:00;24.197,00
01/01/2021;09:00;25.402,00
01/01/2021;10:00;26.788,00
01/01/2021;11:00;28.061,00
01/01/2021;12:00;28.701,00
01/01/2021;13:00;29.224,00
01/01/2021;14:00;29.614,00
01/01/2021;15:00;30.314,00
01/01/2021;16:00;31.318,00
01/01/2021;17:00;33.215,00
01/01/2021;18:00;34.668,00
01/01/2021;19:00;34.357,00
01/01/2021;20:00;33.547,00
01/01/2021;21:00;33.005,00
01/01/2021;22:00;32.081,00
01/01/2021;23:00;30.794,00
02/01/2021;00:00;30.516,00
02/01/2021;01:00;28.893,00
02/01/2021;02:00;27.606,00
02/01/2021;03:00;26.716,00
02/01/2021;04:00;26.208,00
02/01/2021;05:00;26.179,00
02/01/2021;06:00;26.328,00
02/01/2021;07:00;27.406,00
02/01/2021;08:00;29.709,00
02/01/2021;09:00;32.954,00
02/01/2021;10:00;32.976,00
02/01/2021;11:00;32.945,00
02/01/2021;12:00;31.463,00
02/01/2021;13:00;31.803,00
02/01/2021;14:00;32.959,00
02/01/2021;15:00;33.529,00
02/01/2021;16:00;34.560,00
02/01/2021;17:00;36.123,00
02/01/2021;18:00;36.645,00
02/01/2021;19:00;35.775,00
02/01/2021;20:00;34.744,00
02/01/2021;21:00;33.806,00
02/01/2021;22:00;33.005,00
02/01/2021;23:00;31.766,00
03/01/2021;00:00;31.413,00
03/01/2021;01:00;30.732,00
03/01/2021;02:00;29.331,00
03/01/2021;03:00;28.362,00
03/01/2021;04:00;28.095,00
03/01/2021;05:00;27.924,00
03/01/2021;06:00;28.047,00
03/01/2021;07:00;27.993,00
03/01/2021;08:00;27.340,00
03/01/2021;09:00;27.414,00
03/01/2021;10:00;28.221,00
03/01/2021;11:00;28.862,00
03/01/2021;12:00;29.021,00
03/01/2021;13:00;29.710,00
03/01/2021;14:00;30.539,00
03/01/2021;15:00;31.400,00
03/01/2021;16:00;32.731,00
03/01/2021;17:00;34.905,00
03/01/2021;18:00;36.313,00
03/01/2021;19:00;35.787,00
03/01/2021;20:00;35.045,00
03/01/2021;21:00;34.289,00
03/01/2021;22:00;33.564,00
03/01/2021;23:00;32.560,00
04/01/2021;00:00;31.293,00
04/01/2021;01:00;29.609,00
04/01/2021;02:00;28.619,00
04/01/2021;03:00;27.856,00
04/01/2021;04:00;27.676,00
04/01/2021;05:00;27.908,00
